                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68803,                 2.5141,                   1.05,                0.00496,                      1,                0.96609,                0.74164,                0.66143,                  2.592,                 1.0124,                0.00018,                0.00018,                0.00018
                      2,                0.68881,                 1.2672,                 1.0292,                0.93122,                0.88779,                0.96651,                0.77079,                0.78813,                 1.9608,                   1.09,             0.00037624,             0.00037624,             0.00037624
                      3,                0.69552,                 1.1204,                 1.0211,                 0.9451,                0.84677,                0.93262,                0.70812,                0.80851,                 2.0427,                 1.1059,             0.00056852,             0.00056852,             0.00056852
                      4,                0.73306,                 1.1558,                 1.0105,                0.78975,                0.67213,                0.83416,                0.63357,                 0.9004,                 2.1037,                 1.2105,             0.00075683,             0.00075683,             0.00075683
                      5,                0.73266,                 1.0043,                 1.0505,                0.82423,                0.69189,                0.81713,                0.54596,                 1.0219,                 2.3499,                 1.3152,             0.00094119,             0.00094119,             0.00094119
                      6,                0.71052,                 1.0057,                 1.0374,                0.94033,                 0.7751,                 0.9214,                0.62488,                 1.0429,                 2.1171,                 1.2027,              0.0011216,              0.0011216,              0.0011216
                      7,                0.97754,                 1.7162,                 1.2002,                0.82654,                0.78121,                0.90033,                0.60367,                0.98545,                 1.6512,                 1.1934,               0.001298,               0.001298,               0.001298
                      8,                0.73102,                 1.0116,                 1.0361,                 0.8706,                0.66187,                0.71901,                0.50152,                 1.0237,                 1.9406,                 1.2937,              0.0014705,              0.0014705,              0.0014705
                      9,                0.82389,                 1.0002,                  1.109,                0.84302,                0.90164,                 0.9246,                0.63399,                 1.1325,                  1.565,                 1.3149,               0.001639,               0.001639,               0.001639
                     10,                0.89926,                 1.0701,                 1.1438,                0.82709,                 0.7541,                0.84163,                0.59243,                 1.2337,                 1.9675,                 1.4113,              0.0018036,              0.0018036,              0.0018036
                     11,                0.83663,                0.88899,                 1.1193,                0.86747,                0.88525,                0.91031,                0.58528,                 1.2072,                 1.4378,                 1.4933,               0.001802,               0.001802,               0.001802
                     12,                0.75935,                0.86505,                 1.0198,                0.90103,                 0.7463,                0.84699,                 0.5744,                 1.1197,                  1.588,                 1.2984,              0.0017822,              0.0017822,              0.0017822
                     13,                0.83707,                0.81227,                 1.1058,                0.96027,                0.72131,                0.88701,                0.58026,                 1.1401,                  1.512,                 1.3163,              0.0017624,              0.0017624,              0.0017624
                     14,                0.83757,                0.83691,                 1.0786,                0.83026,                0.88211,                0.91399,                0.67318,                0.85965,                 1.5222,                 1.1485,              0.0017426,              0.0017426,              0.0017426
                     15,                0.71438,                0.78159,                 1.0465,                 0.8597,                0.88525,                0.92947,                0.70967,                0.85216,                    1.8,                 1.1501,              0.0017228,              0.0017228,              0.0017228
                     16,                0.81689,                0.77177,                 1.0758,                0.90444,                0.77582,                0.88872,                 0.6849,                0.84193,                 1.3926,                 1.0968,               0.001703,               0.001703,               0.001703
                     17,                0.80279,                0.79493,                 1.0654,                0.87707,                0.96721,                0.95827,                0.75869,                0.94846,                 1.3955,                 1.1857,              0.0016832,              0.0016832,              0.0016832
                     18,                0.67465,                0.69465,                 1.0165,                0.95523,                0.96721,                0.99069,                0.80637,                0.76402,                0.70408,                 1.0186,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77382,                0.67745,                 1.0569,                 0.9676,                0.97919,                0.99274,                0.78107,                0.79971,                0.85223,                 1.1021,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75267,                 0.6735,                 1.0287,                0.98322,                0.98361,                0.99065,                0.81932,                 0.7445,                0.76615,                 1.0278,              0.0016238,              0.0016238,              0.0016238
                     21,                0.66359,                0.65277,                 1.0111,                0.99939,                0.98361,                0.99149,                0.82006,                0.78274,                0.70504,                 1.0712,               0.001604,               0.001604,               0.001604
                     22,                0.67205,                0.65162,                 1.0288,                0.97964,                0.98361,                0.99371,                0.80993,                0.72735,                0.59533,                0.99078,              0.0015842,              0.0015842,              0.0015842
                     23,                0.73558,                0.67609,                 1.0304,                0.99286,                0.98361,                0.99468,                0.82036,                0.72277,                0.58895,                 1.0304,              0.0015644,              0.0015644,              0.0015644
                     24,                  0.688,                0.62364,                0.96988,                  0.993,                0.95082,                0.98861,                 0.8183,                0.75853,                0.63007,                 1.0402,              0.0015446,              0.0015446,              0.0015446
                     25,                0.70631,                0.58883,                 1.0049,                0.93178,                0.89573,                0.96297,                0.76281,                0.80534,                0.66938,                 1.0771,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.6769,                0.57363,                0.96562,                0.98155,                0.81967,                0.95676,                0.74307,                 0.8416,                0.75474,                 1.0719,               0.001505,               0.001505,               0.001505
                     27,                0.71459,                0.60549,                 1.0279,                0.97544,                0.98361,                 0.9919,                0.79438,                0.77463,                0.62386,                 1.0039,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.6584,                0.58584,                 1.0191,                0.99708,                      1,                  0.995,                0.79605,                0.83666,                0.56269,                 1.0516,              0.0014654,              0.0014654,              0.0014654
                     29,                0.69942,                0.57075,                 1.0167,                0.99726,                      1,                  0.995,                0.79584,                0.81882,                0.52345,                 1.0425,              0.0014456,              0.0014456,              0.0014456
                     30,                0.65407,                0.53877,                0.99459,                      1,                0.97904,                0.99468,                0.84381,                0.66382,                0.47096,                0.97551,              0.0014258,              0.0014258,              0.0014258
                     31,                0.73124,                0.53144,                 1.0904,                      1,                0.99848,                  0.995,                0.83684,                0.68156,                0.47149,                0.96847,               0.001406,               0.001406,               0.001406
                     32,                0.66534,                0.53087,                 0.9952,                0.99772,                0.98361,                0.99453,                0.82613,                0.68568,                0.50454,                0.96371,              0.0013862,              0.0013862,              0.0013862
                     33,                0.66074,                0.54251,                0.99957,                0.97759,                0.96721,                0.98507,                0.81515,                0.70632,                 0.5475,                0.97083,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.6785,                0.53259,                0.97299,                0.96514,                0.95082,                0.98099,                0.80559,                0.72256,                0.52282,                 1.0119,              0.0013466,              0.0013466,              0.0013466
                     35,                0.75912,                0.54646,                 1.0809,                0.98058,                0.93443,                0.97784,                0.81965,                0.65062,                0.55079,                0.92837,              0.0013268,              0.0013268,              0.0013268
                     36,                0.65503,                0.60444,                 1.0402,                      1,                0.98186,                0.99468,                0.80577,                0.74761,                0.49656,                0.98687,               0.001307,               0.001307,               0.001307
                     37,                0.69819,                0.56671,                  1.019,                      1,                 0.9659,                0.98517,                0.83131,                0.71637,                0.47733,                0.96012,              0.0012872,              0.0012872,              0.0012872
                     38,                0.58988,                0.48103,                0.97174,                      1,                0.98282,                0.99468,                0.82271,                0.68366,                0.45867,                0.96143,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58526,                0.46748,                0.95485,                0.98383,                0.99733,                0.99452,                 0.8307,                0.73302,                0.49209,                0.97729,              0.0012476,              0.0012476,              0.0012476
                     40,                0.63135,                0.48271,                0.99861,                0.98359,                0.98254,                0.99322,                0.80543,                0.74527,                 0.4991,                0.98181,              0.0012278,              0.0012278,              0.0012278
                     41,                0.70402,                0.52569,                0.99095,                0.96312,                0.90164,                0.95966,                0.76953,                0.87113,                0.65854,                 1.0508,               0.001208,               0.001208,               0.001208
                     42,                0.68163,                0.45819,                 1.0558,                0.95147,                0.96425,                0.97341,                0.74596,                0.85209,                0.57446,                 1.0711,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61819,                0.46981,                0.98181,                0.93738,                0.98361,                0.97283,                0.78807,                0.76534,                0.52006,                 1.0169,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58067,                0.45708,                 0.9454,                0.99425,                      1,                  0.995,                0.84279,                 0.6607,                0.39678,                0.97181,              0.0011486,              0.0011486,              0.0011486
                     45,                0.59536,                0.44302,                0.99214,                      1,                0.99785,                  0.995,                0.84957,                0.68548,                0.40324,                0.95566,              0.0011288,              0.0011288,              0.0011288
